deal_date,deal_time,code,name,inout,委托价格,委托数量,委托编号,成交价格,成交数量,money,成交编号,股东代码,交易所名称,备注,剩余数量
20110120,11:17:29,184699,基金同盛,证券买入,1.135,4000,49932,1.135,4000,4540,6480816,113489670,深圳A股,,4000
20121214,14:56:04,2,万  科Ａ,证券卖出,9.69,1000,99075,9.69,1000,9690,18569938,113489670,深圳A股,,0
20121227,14:46:13,2435,长江润发,证券买入,10.07,300,99975,10.07,300,3327,19124043,113489670,深圳A股,,300
20130115,11:23:24,2170,芭田股份,证券买入,7.9,1000,78348,7.9,1000,7900,14443830,113489670,深圳A股,,1000
20130118,14:38:26,2435,长江润发,证券卖出,11.09,300,93015,11.09,300,3327,17918631,113489670,深圳A股,,0
20130121,10:19:08,679,大连友谊,证券买入,7.25,1000,37254,7.25,1000,7250,6573950,113489670,深圳A股,,1000
20130121,14:18:08,150047,银华瑞吉,证券买入,1.154,4300,87450,1.154,600,692.4,16739655,113489670,深圳A股,,600
20130121,14:48:36,2435,长江润发,证券买入,10.86,400,98129,10.86,400,4344,19181397,113489670,深圳A股,,400
20130123,14:08:18,150047,银华瑞吉,证券卖出,1.243,600,68808,1.243,600,745.8,14467810,113489670,深圳A股,,0
20130130,10:57:03,150039,鼎利A,证券买入,1.069,600,45881,1.069,600,641.4,9400387,113489670,深圳A股,,600
20130131,9:56:42,1,平安银行,证券卖出,21.03,300,26891,21.03,300,6309.13,4150588,113489670,深圳A股,,0
20130131,14:56:07,150054,泰达进取,证券买入,0.972,5500,99634,0.972,5500,5346,18589309,113489670,深圳A股,,5500
20130204,14:36:34,2170,芭田股份,证券卖出,8.37,1000,98819,8.37,1000,8370,17816609,113489670,深圳A股,,0
20130205,14:26:31,996,中国中期,证券买入,16.01,500,84149,16.01,500,8005,15335819,113489670,深圳A股,,500
20130219,10:32:46,150054,泰达进取,证券卖出,1.038,5500,35822,1.038,100,103.8,7249284,113489670,深圳A股,,5400
20130219,14:49:41,300214,日科化学,证券买入,11.75,600,91835,11.75,600,7050,18161017,113489670,深圳A股,,600
20130304,10:28:05,150019,银华锐进,证券买入,0.695,6300,36297,0.695,6300,4378.5,8670909,113489670,深圳A股,,6300
20130620,10:24:48,2435,长江润发,证券卖出,11.87,400,23267,11.87,400,4748,5080277,113489670,深圳A股,,0
20130620,10:29:17,996,中国中期,证券买入,14.72,300,24265,14.72,300,4416,5341494,113489670,深圳A股,,800
20130715,14:53:44,996,中国中期,证券卖出,15.89,800,83586,15.9,800,12720,20065706,113489670,深圳A股,,0
20130717,11:24:35,62,深圳华强,证券卖出,9.24,600,50771,9.24,600,5544,11516272,113489670,深圳A股,,0
20130717,14:53:56,2033,丽江旅游,证券买入,11.04,800,89384,11.031,800,8825,21352427,113489670,深圳A股,,800
20130723,13:37:03,2033,丽江旅游,证券卖出,11.67,800,70382,11.67,800,9336,16006243,113489670,深圳A股,,0
20130823,11:18:25,530,大冷股份,证券买入,7.85,1200,46516,7.85,1200,9420,10420154,113489670,深圳A股,,1200
20130823,11:22:50,2621,大连三垒,证券买入,12.3,800,46793,12.3,800,9840,10690700,113489670,深圳A股,,800
20130828,13:21:40,150054,泰达进取,证券卖出,1.001,5400,77070,1.001,5400,5405.4,14590713,113489670,深圳A股,,0
20130828,14:47:34,687,恒天天鹅,证券买入,3.14,2400,77796,3.14,2400,7536,22242929,113489670,深圳A股,,2400
20130830,10:59:37,150075,诺安进取,证券买入,1.137,6900,56568,1.137,6900,7845.3,11121510,113489670,深圳A股,,6900
20130905,14:16:12,530,大冷股份,证券卖出,8.29,1200,82150,8.29,1200,9948,16605145,113489670,深圳A股,,0
20130905,14:16:57,2621,大连三垒,证券卖出,13.07,800,82404,13.07,800,10456,16657940,113489670,深圳A股,,0
20130905,14:18:32,150075,诺安进取,证券卖出,1.168,6900,82548,1.168,6900,8059.2,16772312,113489670,深圳A股,,0
20130910,14:41:28,2106,莱宝高科,证券买入,15.55,600,122279,15.53,600,9318,21713326,113489670,深圳A股,,600
20130910,14:45:10,150039,鼎利A,证券卖出,1.11,600,124244,1.11,600,666,22108608,113489670,深圳A股,,0
20130912,13:26:44,150075,诺安进取,证券买入,1.142,8700,45091,1.142,8700,9935.4,13594051,113489670,深圳A股,,8700
20130917,14:23:35,150060,银华鑫瑞,证券买入,0.418,23800,79828,0.418,23800,9948.4,16495141,113489670,深圳A股,,23800
20130917,14:55:14,100,TCL 集团,证券买入,2.3,4300,97089,2.3,4300,9890,19550893,113489670,深圳A股,,4300
20130924,13:46:13,150075,诺安进取,证券卖出,1.196,8700,81340,1.196,8700,10405.2,16410037,113489670,深圳A股,,0
20130924,14:26:45,184699,基金同盛,证券卖出,1.006,4000,96635,1.006,4000,4024,19699456,113489670,深圳A股,,0
20130924,14:51:36,2662,京威股份,证券买入,6.8,1500,107097,6.78,1500,10170,22063262,113489670,深圳A股,,1500
20130925,14:43:21,687,恒天天鹅,证券卖出,3.36,2400,103523,3.36,2400,8064,20560478,113489670,深圳A股,,0
20130926,14:15:05,881,大连国际,证券买入,6.99,1700,72750,6.99,1700,11883,16655825,113489670,深圳A股,,1700
